lemma,pos,level,english,example_de,example_en,gender,plural,separable,aux,praesens_ich,praesens_er,praeteritum,partizip_ii,perfekt,comparative,superlative,sources_csv,source_notes
Prüfung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Pr%C3%BCfung
pünktlich,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/p%C3%BCnktlich
Quadratmeter,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Quadratmeter
rauchen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/rauchen
Raum,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Raum
Rechnung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Rechnung
rechts,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/rechts#1
Regen,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Regen
regnen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/regnen
Reis,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Reis#1
Reise,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Reise
Reisebüro,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Reiseb%C3%BCro
Reiseführer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Reisef%C3%BChrer
reisen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/reisen
Reparatur,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Reparatur
reparieren,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/reparieren
Restaurant,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Restaurant
Rezeption,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Rezeption
richtig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/richtig
riechen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/riechen
rot,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/rot
ruhig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/ruhig
S-Bahn,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/S-Bahn
Saft,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Saft
sagen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/sagen
Salat,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Salat
Salz,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Salz
Samstag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Samstag
Satz,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Satz
scheinen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/scheinen
schicken,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/schicken#1
Schild,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schild#1
Schinken,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schinken
schlecht,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/schlecht
schließen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/schlie%C3%9Fen
Schluss,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schluss
Schlüssel,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schl%C3%BCssel
schmecken,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/schmecken
schon,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/schon
Schrank,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schrank
Schuh,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schuh
Schule,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schule
schwarz,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/schwarz
schwer,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/schwer
Schwester,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schwester
Schwimmbad,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Schwimmbad
schön,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/sch%C3%B6n
Schüler,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sch%C3%BCler
See,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/See#1
Sehenswürdigkeit,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sehensw%C3%BCrdigkeit
sehr,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/sehr
Sekunde,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sekunde
selbstständig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/selbstst%C3%A4ndig
selbständig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/selbst%C3%A4ndig
September,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/September
sitzen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/sitzen
Sofa,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sofa
sofort,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/sofort
Sohn,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sohn
Sommer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sommer
Sonnabend,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sonnabend
Sonne,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sonne
Sonntag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sonntag
Speisekarte,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Speisekarte
Speisenkarte,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Speisenkarte
Sport,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sport
Sprache,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Sprache
spät,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/sp%C3%A4t
später,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/sp%C3%A4ter
Stadt,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Stadt
stehen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/stehen
Stelle,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Stelle
stellen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/stellen
Stock,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Stock#2
Straße,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Stra%C3%9Fe
Straßenbahn,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Stra%C3%9Fenbahn
Student,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Student
studieren,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/studieren
Studium,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Studium
Stunde,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Stunde
suchen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/suchen
Süden,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/S%C3%BCden
Tag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Tag#1
Tasche,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Tasche
Taxi,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Taxi
Tee,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Tee#1
Teil,N,A1,,,,"der, das",,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Teil
Telefon,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Telefon
telefonieren,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/telefonieren
Termin,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Termin
Test,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Test
teuer,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/teuer
Text,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Text
Thema,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Thema
Ticket,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ticket
Tisch,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Tisch
Tochter,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Tochter
Toilette,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Toilette
Tomate,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Tomate
tot,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/tot
treffen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/treffen
Treppe,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Treppe
tun,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/tun
Uhr,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Uhr
um,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/um#1
umziehen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/umziehen
und,Konj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/und
unten,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/unten
unter,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/unter#1
Unterricht,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Unterricht
unterschreiben,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/unterschreiben
Unterschrift,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Unterschrift
Urlaub,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Urlaub
Vater,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Vater
verdienen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/verdienen
Verein,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Verein
verkaufen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/verkaufen
Verkäufer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Verk%C3%A4ufer
vermieten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/vermieten
Vermieter,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Vermieter
verstehen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/verstehen#1
Verwandte,N,A1,,,,"die, der",,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Verwandte
viel,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/viel
vielleicht,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/vielleicht
Viertel,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Viertel#1
von,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/von#1
vor,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/vor#1
Vormittag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Vormittag
Vorname,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Vorname
Vorsicht,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Vorsicht
vorstellen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/vorstellen
Vorwahl,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Vorwahl
Wagen,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wagen
wandern,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wandern
wann,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wann
warten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/warten#1
warum,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/warum
was,Pron,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/was#1
waschen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/waschen
Wasser,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wasser
weg sein,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/weg%20sein
weh tun,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/weh%20tun
wehtun,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wehtun
weiblich,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/weiblich
Wein,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wein
weit,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/weit
weiter,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/weiter
weiß,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wei%C3%9F
Welt,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Welt
wenig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wenig
wer,Pron,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wer
Westen,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Westen
Wetter,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wetter
wichtig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wichtig
wie,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wie
wie viel,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wie%20viel
wieder,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wieder
wieder holen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wieder%20holen
wiederholen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wiederholen#1
Wiederhören,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wiederh%C3%B6ren
Wiedersehen,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wiedersehen
willkommen,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/willkommen
Wind,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wind
Winter,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Winter
wissen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wissen
wo,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wo
Woche,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Woche
Wochenende,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wochenende
Wochentag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wochentag
Wohnung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Wohnung
wunderbar,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/wunderbar
zahlen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zahlen
Zeit,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Zeit
Zeitung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Zeitung
Zentimeter,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Zentimeter
Zigarette,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Zigarette
Zimmer,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Zimmer
zirka,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zirka
Zoll,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Zoll#2
zu,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zu#1
zu,Part,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zu#2
zu sein,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zu%20sein
zufrieden,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zufrieden
Zug,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Zug#1
zurzeit,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zurzeit
zurück,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zur%C3%BCck
zusammen,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zusammen
zwischen,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/zwischen
öffnen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/%C3%B6ffnen
Öl,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/%C3%96l
über,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/%C3%BCber#1
übernachten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/%C3%BCbernachten
überweisen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/%C3%BCberweisen
abschließen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/abschlie%C3%9Fen
Ahnung,N,A2,,,,die,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Ahnung
aktiv,Adj,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/aktiv
aktuell,Adj,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/aktuell
als,Konj,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/als
Ampel,N,A2,,,,die,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Ampel
anders,Adv,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/anders
Angst,N,A2,,,,die,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Angst
ansehen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/ansehen
Anzug,N,A2,,,,der,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Anzug
Apotheke,N,A2,,,,die,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Apotheke
Apparat,N,A2,,,,der,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Apparat
arm,Adj,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/arm
Artikel,N,A2,,,,der,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Artikel
aufmachen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/aufmachen
aufpassen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/aufpassen
aufregen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/aufregen
aufräumen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/aufr%C3%A4umen
Ausbildung,N,A2,,,,die,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Ausbildung
ausgeben,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/ausgeben
ausgehen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/ausgehen
auspacken,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/auspacken
ausruhen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/ausruhen
aussprechen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/aussprechen
Ausstellung,N,A2,,,,die,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Ausstellung
austauschen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/austauschen
austragen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/austragen
außer,Präp,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/au%C3%9Fer#1
außerdem,Adv,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/au%C3%9Ferdem
außerhalb,Adv,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/au%C3%9Ferhalb#2
Babysitter,N,A2,,,,der,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Babysitter
backen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/backen#1
Ball,N,A2,,,,der,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Ball#1
Band,N,A2,,,,die,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Band#3
Basketball,N,A2,,,,der,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Basketball
basteln,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/basteln
bauen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/bauen#1
Baustelle,N,A2,,,,die,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Baustelle
beantworten,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/beantworten
bedanken,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/bedanken
beeilen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/beeilen
beenden,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/beenden
begründen,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/begr%C3%BCnden
bequem,Adj,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/bequem
beraten,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/beraten
Berg,N,A2,,,,der,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Berg
berichten,V,A2,,,,,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/berichten
Bescheid,N,A2,,,,der,,,,,,,,,,,dwds-goethe-A2.csv,https://www.dwds.de/wb/Bescheid
